Step,MAE,MSE,Huber,Training_Loss,Testing_Loss
300000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
310000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
320000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
330000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
340000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
350000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
360000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
370000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
380000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
390000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
400000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
410000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
420000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
430000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
440000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
450000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
460000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
470000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
480000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
490000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
500000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
510000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
520000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
530000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
540000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
550000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
560000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
570000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
580000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
590000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
600000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
610000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
620000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
630000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
640000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
650000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
660000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
670000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
680000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
690000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
700000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
710000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
720000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
730000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
740000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
750000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
760000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
770000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
780000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
790000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
800000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
810000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
820000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
830000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
840000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
850000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
860000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
870000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
880000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
890000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
900000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
910000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
920000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
930000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
940000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
950000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
960000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
970000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
980000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
990000,99999.80305754207,9999960611.572468,99999.30305754207,0.0,0.0
